Index	V	I	R	T_coldhead	T_sample
434.000	0.098	0.010	9.759	11.501	10.622
435.000	0.098	0.010	9.765	11.501	10.622
436.000	0.098	0.010	9.752	11.515	10.645
437.000	0.097	0.010	9.750	11.515	10.645
438.000	0.097	0.010	9.747	11.527	10.668
439.000	0.097	0.010	9.749	11.527	10.668
440.000	0.098	0.010	9.759	11.540	10.691
441.000	0.098	0.010	9.761	11.540	10.691
442.000	0.098	0.010	9.755	11.551	10.713
443.000	0.097	0.010	9.745	11.551	10.713
444.000	0.097	0.010	9.750	11.562	10.736
445.000	0.098	0.010	9.750	11.562	10.736
446.000	0.097	0.010	9.749	11.571	10.758
447.000	0.098	0.010	9.750	11.571	10.758
448.000	0.098	0.010	9.751	11.583	10.781
449.000	0.098	0.010	9.755	11.583	10.781
450.000	0.098	0.010	9.756	11.599	10.803
451.000	0.098	0.010	9.769	11.599	10.803
452.000	0.098	0.010	9.764	11.615	10.825
453.000	0.098	0.010	9.760	11.615	10.825
454.000	0.097	0.010	9.747	11.631	10.846
455.000	0.097	0.010	9.740	11.631	10.846
456.000	0.098	0.010	9.754	11.646	10.868
457.000	0.098	0.010	9.755	11.646	10.868
458.000	0.097	0.010	9.746	11.659	10.890
459.000	0.097	0.010	9.749	11.659	10.890
460.000	0.097	0.010	9.747	11.673	10.912
461.000	0.097	0.010	9.759	11.673	10.934
462.000	0.098	0.010	9.756	11.685	10.934
463.000	0.097	0.010	9.749	11.685	10.956
464.000	0.097	0.010	9.743	11.696	10.956
465.000	0.097	0.010	9.744	11.696	10.978
466.000	0.098	0.010	9.752	11.706	10.978
467.000	0.097	0.010	9.747	11.706	11.001
468.000	0.097	0.010	9.745	11.718	11.001
469.000	0.097	0.010	9.748	11.718	11.023
470.000	0.097	0.010	9.754	11.733	11.023
471.000	0.097	0.010	9.736	11.733	11.046
472.000	0.098	0.010	9.757	11.750	11.046
473.000	0.098	0.010	9.753	11.750	11.069
474.000	0.097	0.010	9.735	11.766	11.069
475.000	0.097	0.010	9.734	11.766	11.091
476.000	0.097	0.010	9.736	11.780	11.091
477.000	0.098	0.010	9.757	11.780	11.112
478.000	0.097	0.010	9.756	11.794	11.112
479.000	0.097	0.010	9.747	11.794	11.134
480.000	0.098	0.010	9.754	11.807	11.134
481.000	0.097	0.010	9.750	11.807	11.157
482.000	0.097	0.010	9.737	11.819	11.157
483.000	0.098	0.010	9.757	11.819	11.178
484.000	0.098	0.010	9.754	11.829	11.178
485.000	0.098	0.010	9.751	11.829	11.200
486.000	0.097	0.010	9.735	11.839	11.200
487.000	0.097	0.010	9.734	11.851	11.221
488.000	0.097	0.010	9.745	11.851	11.221
489.000	0.097	0.010	9.753	11.866	11.242
490.000	0.098	0.010	9.764	11.866	11.242
491.000	0.098	0.010	9.754	11.882	11.263
492.000	0.097	0.010	9.746	11.882	11.263
493.000	0.098	0.010	9.754	11.897	11.284
494.000	0.097	0.010	9.749	11.897	11.284
495.000	0.098	0.010	9.755	11.911	11.305
496.000	0.098	0.010	9.760	11.911	11.305
497.000	0.098	0.010	9.769	11.924	11.327
498.000	0.098	0.010	9.763	11.924	11.327
499.000	0.097	0.010	9.745	11.937	11.347
500.000	0.098	0.010	9.751	11.937	11.347
501.000	0.098	0.010	9.754	11.948	11.368
502.000	0.097	0.010	9.749	11.948	11.368
503.000	0.098	0.010	9.759	11.958	11.388
504.000	0.098	0.010	9.767	11.958	11.388
505.000	0.098	0.010	9.755	11.967	11.409
506.000	0.097	0.010	9.744	11.967	11.409
507.000	0.098	0.010	9.758	11.978	11.430
508.000	0.098	0.010	9.759	11.978	11.430
509.000	0.098	0.010	9.772	11.992	11.452
510.000	0.098	0.010	9.760	11.992	11.452
511.000	0.098	0.010	9.770	12.008	11.472
512.000	0.098	0.010	9.762	12.008	11.472
513.000	0.098	0.010	9.762	12.022	11.493
514.000	0.098	0.010	9.759	12.022	11.493
515.000	0.098	0.010	9.758	12.035	11.513
516.000	0.098	0.010	9.757	12.035	11.513
517.000	0.098	0.010	9.754	12.047	11.534
518.000	0.098	0.010	9.757	12.047	11.534
519.000	0.098	0.010	9.763	12.059	11.554
520.000	0.098	0.010	9.764	12.059	11.575
521.000	0.098	0.010	9.753	12.070	11.575
522.000	0.098	0.010	9.763	12.070	11.595
523.000	0.098	0.010	9.755	12.080	11.595
524.000	0.097	0.010	9.748	12.080	11.615
525.000	0.098	0.010	9.769	12.088	11.615
526.000	0.098	0.010	9.754	12.088	11.634
527.000	0.098	0.010	9.766	12.099	11.634
528.000	0.098	0.010	9.752	12.099	11.653
529.000	0.098	0.010	9.756	12.112	11.653
530.000	0.098	0.010	9.760	12.112	11.673
531.000	0.098	0.010	9.780	12.127	11.673
532.000	0.098	0.010	9.757	12.127	11.692
533.000	0.098	0.010	9.769	12.142	11.692
534.000	0.098	0.010	9.773	12.142	11.711
535.000	0.098	0.010	9.758	12.154	11.711
536.000	0.098	0.010	9.754	12.154	11.730
537.000	0.097	0.010	9.746	12.166	11.730
538.000	0.098	0.010	9.768	12.166	11.748
539.000	0.098	0.010	9.750	12.177	11.748
540.000	0.098	0.010	9.765	12.177	11.768
541.000	0.098	0.010	9.771	12.187	11.768
542.000	0.098	0.010	9.774	12.187	11.787
543.000	0.098	0.010	9.753	12.195	11.787
544.000	0.098	0.010	9.760	12.195	11.805
545.000	0.098	0.010	9.758	12.202	11.805
546.000	0.098	0.010	9.765	12.212	11.823
547.000	0.098	0.010	9.754	12.212	11.823
548.000	0.098	0.010	9.762	12.224	11.842
549.000	0.098	0.010	9.750	12.224	11.842
550.000	0.097	0.010	9.745	12.238	11.859
551.000	0.098	0.010	9.761	12.238	11.859
552.000	0.098	0.010	9.751	12.251	11.877
553.000	0.098	0.010	9.770	12.251	11.877
554.000	0.098	0.010	9.761	12.262	11.895
555.000	0.098	0.010	9.751	12.262	11.913
556.000	0.098	0.010	9.761	12.273	11.913
557.000	0.098	0.010	9.766	12.273	11.931
558.000	0.097	0.010	9.747	12.283	11.931
559.000	0.098	0.010	9.755	12.283	11.949
560.000	0.098	0.010	9.769	12.291	11.949
561.000	0.098	0.010	9.779	12.291	11.967
562.000	0.098	0.010	9.761	12.298	11.967
563.000	0.098	0.010	9.783	12.298	11.984
564.000	0.098	0.010	9.759	12.304	11.984
565.000	0.098	0.010	9.757	12.304	12.002
566.000	0.098	0.010	9.758	12.312	12.002
567.000	0.098	0.010	9.760	12.312	12.018
568.000	0.098	0.010	9.759	12.323	12.018
569.000	0.098	0.010	9.757	12.323	12.036
570.000	0.098	0.010	9.763	12.336	12.036
571.000	0.098	0.010	9.767	12.336	12.053
572.000	0.098	0.010	9.777	12.347	12.053
573.000	0.098	0.010	9.763	12.347	12.069
574.000	0.098	0.010	9.767	12.357	12.069
575.000	0.098	0.010	9.768	12.357	12.086
576.000	0.098	0.010	9.760	12.366	12.086
577.000	0.098	0.010	9.758	12.374	12.103
